AIX00020|TCB Software
AIX00040|securetcpip Command
AIX00060|System Baseline for Files with TCB Bit Set
AIX00080|SYSTEM Attribute
GEN000000-LNX001431|The /etc/gshadow file must be owned by root.
GEN000000-LNX001432|The /etc/gshadow file must be group-owned by root.
GEN000000-LNX001433|The /etc/gshadow file must have mode 0400.
GEN000000-LNX001434|The /etc/gshadow file must not have an extended ACL.
GEN000000-LNX00240|The ext3 filesystem type must be used for the primary Linux file system partitions.
GEN000000-LNX00320|The system must not have special privilege accounts, such as shutdown and halt.
GEN000000-LNX00360|The X server must have the correct options enabled.
GEN000000-LNX00380|An X server must have none of the following options enabled: -ac, -core (except for debugging purposes), or -nolock.
GEN000000-LNX00400|The /etc/security/access.conf file must be owned by root.
GEN000000-LNX00420|The /etc/security/access.conf file must have a privileged group owner.
GEN000000-LNX00440|The /etc/security/access.conf file must have mode 0640 or less permissive.
GEN000000-LNX00450|The /etc/security/access.conf file must not have an extended ACL.
GEN000000-LNX00480|The /etc/sysctl.conf file must be owned by root.
GEN000000-LNX00500|The /etc/sysctl.conf file must be group-owned by root.
GEN000000-LNX00520|The /etc/sysctl.conf file must have mode 0600 or less permissive.
GEN000000-LNX00530|The /etc/sysctl.conf file must not have an extended ACL.
GEN000000-LNX00560|The Linux NFS Server must not have the insecure file locking option.
GEN000000-LNX00580|The x86 CTRL-ALT-DELETE key sequence must be disabled.
GEN000000-LNX00600|The Linux PAM system must not grant sole access to admin privileges to the first user who logs into the console.
GEN000000-LNX00620|The /etc/securetty file must be group-owned by root, sys, or bin.
GEN000000-LNX00640|The /etc/securetty file must be owned by root.
GEN000000-LNX00660|The /etc/securetty file must have mode 0640 or less permissive.
GEN000000-LNX00720|Auditing must be enabled at boot by setting a kernel parameter.
GEN000000-LNX007580|The PF_LLC protocol handler must not be bound to the network stack.
GEN000000-LNX007600|The PF_LLC protocol handler must be prevented from dynamic loading.
GEN000000-LNX007620|The PF_LLC protocol handler must not be installed.
GEN000000-LNX00800|The system must use a Linux Security Module that is configured to limit the privileges of system services.
GEN000000-SOL00020|The nosuid option must be configured in the /etc/rmmount.conf file.
GEN000000-SOL00040|The /etc/security/audit_user file must not define a different auditing level for specific users.
GEN000000-SOL00060|The /etc/security/audit_user file must be owned by root.
GEN000000-SOL00080|The /etc/security/audit_user file must be group-owned by root, sys, or bin.
GEN000000-SOL00100|The /etc/security/audit_user file must have mode 0640 or less permissive.
GEN000000-SOL00110|The /etc/security/audit_user file must not have an extended ACL.
GEN000000-SOL00120|The ASET master files must be located in the /usr/aset/masters directory.
GEN000000-SOL00140|The /usr/aset/masters/uid_aliases must be empty.
GEN000000-SOL00160|If the system is a firewall, ASET must be used on the system, and the firewall parameters must be set in /usr/aset/asetenv.
GEN000000-SOL00180|The Solaris system Automated Security Enhancement Tool (ASET) configurable parameters in the asetenv file must be correct.
GEN000000-SOL00200|If NIS+ is configured on the Solaris system, YPCHECK must be set to true.
GEN000000-SOL00220|The /usr/aset/userlist file must exist.
GEN000000-SOL00240|The /usr/aset/userlist file must be owned by root.
GEN000000-SOL00250|The /usr/aset/userlist file must be group-owned by root.
GEN000000-SOL00260|The /usr/aset/userlist file must have mode 0600 or less permissive.
GEN000000-SOL00270|The /usr/aset/userlist file must not have an extended ACL.
GEN000000-SOL00300|The Solaris system EEPROM security-mode parameter must be set to full or command mode.
GEN000000-SOL00400|The NFS server must have logging implemented.
GEN000000-SOL00420|Hidden extended file attributes must not exist on the system.
GEN000000-SOL00440|The root account must be the only account with GID of 0.
GEN000000-SOL00540|The /etc/zones directory, and its contents, must be owned by root.
GEN000000-SOL00560|The /etc/zones directory, and its contents, must be group-owned by sys.
GEN000000-SOL00580|The /etc/zones directory, and its contents, must have mode 0755 or less permissive.
GEN000000-SOL00600|The /etc/zones directory, and its contents, must not have an extended ACL.
GEN000000-SOL00620|The inherit-pkg-dir zone option must be set to none or the system default list defined for sparse root zones.
GEN000000-SOL00640|The limitpriv zone option must be set to the vendor default or less permissive.
GEN000000-SOL00660|The physical devices must not assigned to non-global zones.
GEN000020|Single User Mode Password
GEN000040|Single User Mode Password Incompatibility Documentation
GEN000060|Single User Mode Password Incompatibility Location
GEN000080|System Equipment Location
GEN000100|Supported Release
GEN000120|Vendor Recommended and Security Patches
GEN000140|Create and Maintain System Baseline
GEN000160|System Baseline Backup on Write-protected Media
GEN000220|System Baseline for System Libraries and Binaries Checking
GEN000240|Network Time-Server
GEN000241|The system clock must be synchronized continuously, or at least daily.
GEN000242|The system must use at least two time sources for clock synchronization.
GEN000244|The system must use time sources that are local to the enclave.
GEN000246|The system time synchronization method must use cryptographic algorithms to verify the authenticity and integrity of the time data.
GEN000250|The time synchronization configuration file (such as /etc/ntp.conf) must be owned by root.
GEN000251|The time synchronization configuration file (such as /etc/ntp.conf) must be group-owned by root, bin, sys, or system.
GEN000252|The time synchronization configuration file (such as /etc/ntp.conf) must have mode 0640 or less permissive.
GEN000253|The time synchronization configuration file (such as /etc/ntp.conf) must not have an extended ACL.
GEN000260|Shared Account Documentation
GEN000280|Shared Account Direct Logon
GEN000290|The system must not have unnecessary accounts.
GEN000290-1|The system must not have the unnecessary "games" account.
GEN000290-2|The system must not have the unnecessary "news" account.
GEN000290-3|The system must not have the unnecessary "gopher" account.
GEN000300|Unique Account Name
GEN000320|Unique UID
GEN000340|Reserved System Account UIDs
GEN000360|Reserved System Account GIDs
GEN000380|Groups Referenced in /etc/passwd
GEN000400|Logon Warning Banner Display
GEN000402|The Department of Defense (DoD) login banner must be displayed immediately prior to, or as part of, graphical desktop environment login prompts.
GEN000410|The FTPS/FTP service on the system must be configured with the Department of Defense (DoD) login banner.
GEN000420|Logon Warning Banner Content
GEN000440|Logging Login Attempts
GEN000452|The system must display the date and time of the last successful account login upon login.
GEN000454|The system must display the number of unsuccessful login attempts since the last successful login for a user account upon login.
GEN000460|Three Failed Login Attempts
GEN000480|Login Delay
GEN000500|Inactivity
GEN000510|The system must display a publicly-viewable pattern during a graphical desktop environment session lock.
GEN000520|Continuous Display
GEN000540|Password Change 24 Hours
GEN000560|Password Protect Enabled Accounts
GEN000580|Password Length
GEN000585|The system must enforce the correctness of the entire password during authentication.
GEN000588|The system must use a FIPS 140-2 validated cryptographic module (operating in FIPS mode) for generating system password hashes.
GEN000590|The system must use a FIPS 140-2 approved cryptographic hashing algorithm for generating account password hashes.
GEN000595|The password hashes stored on the system must have been generated using a FIPS 140-2 approved cryptographic hashing algorithm.
GEN000600|Password Character Mix (Mixed case)
GEN000610|The system must require that passwords contain at least one lowercase alphabetic character.
GEN000620|Password Character Mix (Digits)
GEN000640|Password Character Mix (Special)
GEN000660|Password Contents
GEN000680|Password Contents
GEN000700|Password Change Every 60 Days
GEN000740|Password Change Every Year
GEN000750|The system must require at least four characters be changed between the old and new passwords during a password change.
GEN000760|Inactive Accounts are not locked
GEN000780|Easily Guessed Passwords
GEN000790|The system must prevent the use of dictionary words for passwords.
GEN000800|Password Reuse
GEN000820|Global Password Configuration Files
GEN000840|Root Account Access
GEN000850|The system must restrict the ability to switch to the root user to members of a defined group.
GEN000860|Password Change for Administrative Passwords Upon SA Reassignment
GEN000880|Root's UID
GEN000900|Root's Home Directory
GEN000920|Root's Home Directory Permissions
GEN000930|The root account's home directory must not have an extended ACL.
GEN000940|Root's Search Path
GEN000945|The root account's library search path must be the system default and must contain only absolute paths.
GEN000950|The root account's list of preloaded libraries must be empty.
GEN000960|Root's Search Path
GEN000980|Root Console Access
GEN001000|Remote Consoles
GEN001020|Direct Root Login
GEN001060|Log Root Access Attempts
GEN001080|Root Shell
GEN001100|Encrypting Root Access
GEN001120|Encrypting Root Access
